Sample in Buffer,Sample in Window,TRIGGER,data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,342f
1,1,0,342f
2,2,0,342f
3,3,0,342f
4,4,0,342f
5,5,0,342f
6,6,0,342f
7,7,0,342f
8,8,0,342f
9,9,0,342f
10,10,0,342f
11,11,0,342f
12,12,0,342f
13,13,0,342f
14,14,0,342f
15,15,0,342f
16,16,0,342f
17,17,0,342f
18,18,0,342f
19,19,0,342f
20,20,0,342f
21,21,0,342f
22,22,0,342f
23,23,0,342f
24,24,0,342f
25,25,0,342f
26,26,0,342f
27,27,0,342f
28,28,0,342f
29,29,0,342f
30,30,0,342f
31,31,0,342f
32,32,0,342f
33,33,0,342f
34,34,0,342f
35,35,0,342f
36,36,0,342f
37,37,0,342f
38,38,0,342f
39,39,0,342f
40,40,0,342f
41,41,0,342f
42,42,0,342f
43,43,0,342f
44,44,0,342f
45,45,0,342f
46,46,0,342f
47,47,0,342f
48,48,0,342f
49,49,0,342f
50,50,0,342f
51,51,0,342f
52,52,0,342f
53,53,0,342f
54,54,0,342f
55,55,0,342f
56,56,0,342f
57,57,0,342f
58,58,0,342f
59,59,0,342f
60,60,0,342f
61,61,0,342f
62,62,0,342f
63,63,0,342f
64,64,0,342f
65,65,0,342f
66,66,0,342f
67,67,0,342f
68,68,0,342f
69,69,0,342f
70,70,0,342f
71,71,0,342f
72,72,0,342f
73,73,0,342f
74,74,0,342f
75,75,0,342f
76,76,0,342f
77,77,0,342f
78,78,0,342f
79,79,0,342f
80,80,0,342f
81,81,0,342f
82,82,0,342f
83,83,0,342f
84,84,0,342f
85,85,0,342f
86,86,0,342f
87,87,0,342f
88,88,0,342f
89,89,0,342f
90,90,0,342f
91,91,0,342f
92,92,0,342f
93,93,0,342f
94,94,0,342f
95,95,0,342f
96,96,0,342f
97,97,0,342f
98,98,0,342f
99,99,0,342f
100,100,0,342f
101,101,0,342f
102,102,0,342f
103,103,0,342f
104,104,0,342f
105,105,0,342f
106,106,0,342f
107,107,0,342f
108,108,0,342f
109,109,0,342f
110,110,0,342f
111,111,0,342f
112,112,0,342f
113,113,0,342f
114,114,0,342f
115,115,0,342f
116,116,0,342f
117,117,0,342f
118,118,0,342f
119,119,0,342f
120,120,0,342f
121,121,0,342f
122,122,0,342f
123,123,0,342f
124,124,0,342f
125,125,0,342f
126,126,0,342f
127,127,0,342f
128,128,0,342f
129,129,0,342f
130,130,0,342f
131,131,0,342f
132,132,0,342f
133,133,0,342f
134,134,0,342f
135,135,0,342f
136,136,0,342f
137,137,0,342f
138,138,0,342f
139,139,0,342f
140,140,0,342f
141,141,0,342f
142,142,0,342f
143,143,0,342f
144,144,0,342f
145,145,0,342f
146,146,0,342f
147,147,0,342f
148,148,0,342f
149,149,0,342f
150,150,0,342f
151,151,0,342f
152,152,0,342f
153,153,0,342f
154,154,0,342f
155,155,0,342f
156,156,0,342f
157,157,0,342f
158,158,0,342f
159,159,0,342f
160,160,0,342f
161,161,0,342f
162,162,0,342f
163,163,0,342f
164,164,0,342f
165,165,0,342f
166,166,0,342f
167,167,0,342f
168,168,0,342f
169,169,0,342f
170,170,0,342f
171,171,0,342f
172,172,0,342f
173,173,0,342f
174,174,0,342f
175,175,0,342f
176,176,0,342f
177,177,0,342f
178,178,0,342f
179,179,0,342f
180,180,0,342f
181,181,0,342f
182,182,0,342f
183,183,0,342f
184,184,0,342f
185,185,0,342f
186,186,0,342f
187,187,0,342f
188,188,0,342f
189,189,0,342f
190,190,0,342f
191,191,0,342f
192,192,0,342f
193,193,0,342f
194,194,0,342f
195,195,0,342f
196,196,0,342f
197,197,0,342f
198,198,0,342f
199,199,0,342f
200,200,0,342f
201,201,0,342f
202,202,0,342f
203,203,0,342f
204,204,0,342f
205,205,0,342f
206,206,0,342f
207,207,0,3412
208,208,0,3412
209,209,0,3412
210,210,0,3412
211,211,0,3412
212,212,0,3412
213,213,0,3412
214,214,0,3412
215,215,0,3412
216,216,0,3412
217,217,0,3412
218,218,0,3412
219,219,0,3412
220,220,0,3412
221,221,0,3412
222,222,0,3412
223,223,0,3412
224,224,0,3412
225,225,0,3412
226,226,0,3412
227,227,0,3412
228,228,0,3412
229,229,0,3412
230,230,0,3412
231,231,0,3412
232,232,0,3412
233,233,0,3412
234,234,0,3412
235,235,0,3412
236,236,0,3412
237,237,0,3412
238,238,0,3412
239,239,0,3412
240,240,0,3412
241,241,0,3412
242,242,0,3412
243,243,0,3412
244,244,0,3412
245,245,0,3412
246,246,0,3412
247,247,0,3412
248,248,0,3412
249,249,0,3412
250,250,0,3412
251,251,0,3412
252,252,0,3412
253,253,0,3412
254,254,0,3412
255,255,0,3412
256,256,0,3412
257,257,0,3412
258,258,0,3412
259,259,0,3412
260,260,0,3412
261,261,0,3412
262,262,0,3412
263,263,0,3412
264,264,0,3412
265,265,0,3412
266,266,0,3412
267,267,0,3412
268,268,0,3412
269,269,0,3412
270,270,0,3412
271,271,0,3412
272,272,0,3412
273,273,0,3412
274,274,0,3412
275,275,0,3412
276,276,0,3412
277,277,0,3412
278,278,0,3412
279,279,0,3412
280,280,0,3412
281,281,0,3412
282,282,0,3412
283,283,0,3412
284,284,0,3412
285,285,0,3412
286,286,0,3412
287,287,0,3412
288,288,0,3412
289,289,0,3412
290,290,0,3412
291,291,0,3412
292,292,0,3412
293,293,0,3412
294,294,0,3412
295,295,0,3412
296,296,0,3412
297,297,0,3412
298,298,0,3412
299,299,0,3412
300,300,0,3412
301,301,0,3412
302,302,0,3412
303,303,0,3412
304,304,0,3412
305,305,0,3412
306,306,0,3412
307,307,0,3412
308,308,0,3412
309,309,0,3412
310,310,0,3412
311,311,0,3412
312,312,0,3412
313,313,0,3412
314,314,0,3412
315,315,0,3412
316,316,0,3412
317,317,0,3412
318,318,0,3412
319,319,0,3412
320,320,0,3412
321,321,0,3412
322,322,0,3412
323,323,0,3412
324,324,0,3412
325,325,0,3412
326,326,0,3412
327,327,0,3412
328,328,0,3412
329,329,0,3412
330,330,0,3412
331,331,0,3412
332,332,0,3412
333,333,0,3412
334,334,0,3412
335,335,0,3412
336,336,0,3412
337,337,0,3412
338,338,0,3412
339,339,0,3412
340,340,0,3412
341,341,0,3412
342,342,0,3412
343,343,0,3412
344,344,0,3412
345,345,0,3412
346,346,0,3412
347,347,0,3412
348,348,0,3412
349,349,0,3412
350,350,0,3412
351,351,0,3412
352,352,0,3412
353,353,0,3412
354,354,0,3412
355,355,0,3412
356,356,0,3412
357,357,0,3412
358,358,0,3412
359,359,0,3412
360,360,0,3412
361,361,0,3412
362,362,0,3412
363,363,0,3412
364,364,0,3412
365,365,0,3412
366,366,0,3412
367,367,0,3412
368,368,0,3412
369,369,0,3412
370,370,0,3412
371,371,0,3412
372,372,0,3412
373,373,0,3412
374,374,0,3412
375,375,0,3412
376,376,0,3412
